id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
3139.0,SamurAI  SAMURAI,"$0,001582",3.6%,2.4%,32.1%,20.8%,"$31.574,28",$1.582.038,$1.582.038,1.0
3140.0,Izzy  IZZY,"$0,001611",0.6%,20.1%,-,-,$2.682.632,$1.581.900,$1.610.897,0.98
3142.0,Pairs  PAIRS,"$0,0001976",2.4%,1.2%,41.4%,-,"$17.979,57",$1.580.186,$1.580.186,1.0
3141.0,STEAM  STEAM,"$0,008738",0.1%,1.3%,6.7%,12.8%,"$2.594,66",$1.578.917,$8.731.333,0.18
3147.0,OneFinity  ONE,"$0,06222",0.2%,1.1%,11.5%,49.5%,"$2.125,11",$1.578.192,$2.177.659,0.72
3144.0,Global Coin Research  GCR,"$0,1576",-,-,-,-,"$1,39",$1.575.588,$1.575.588,1.0
3146.0,PsyDAO  PSY,"$0,04262",0.4%,0.0%,9.6%,73.0%,"$1.241,98",$1.575.109,$4.361.344,0.36
3143.0,HODL  HODL,"$0,0001861",1.6%,2.9%,1.3%,16.0%,$143.214,$1.574.882,$1.852.668,0.85
3145.0,GHOAD  GHOAD,"$0,0003932",6.4%,0.8%,34.2%,27.1%,"$50.765,57",$1.572.947,$1.572.947,1.0
3151.0,El Dorito  DORITO,"$0,04717",0.5%,1.2%,4.9%,8.3%,"$2.341,34",$1.572.318,$1.572.318,1.0
3148.0,Simps  SIMP,"$0,001572",-,-,-,-,"$44,18",$1.571.777,$1.571.777,1.0
3149.0,MEME.ssi  MEME.SSI,"$0,6141",0.3%,3.8%,4.1%,44.6%,$443.562,$1.570.122,$1.570.122,1.0
3150.0,WELL3  $WELL,"$0,0002382",0.1%,0.3%,2.1%,54.6%,$2.181.968,$1.568.333,$10.003.103,0.16
3159.0,Rainbow Bridged USDT (Aurora)  USDT.E,"$1,00",0.3%,0.5%,0.6%,0.1%,"$24.802,15",$1.566.635,$1.566.635,1.0
3152.0,Pog Coin  POGS,"$0,0007830",0.3%,8.4%,2.1%,18.7%,"$84,23",$1.565.955,$1.565.955,1.0
3153.0,Vibe Cat  VIBE,"$0,001591",10.4%,13.1%,13.5%,125.5%,"$60.980,10",$1.563.361,$1.563.361,1.0
3154.0,Kite  KITE,"$1,87",0.6%,1.5%,2.0%,61.7%,"$1.622,18",$1.563.105,$1.598.093,0.98
3155.0,HeeeHeee  HEEHEE,"$0,002020",0.6%,2.4%,15.7%,45.4%,"$7.409,03",$1.560.380,$1.560.380,1.0
3156.0,CoinBuck  BUCK,"$0,0001560",0.0%,2.5%,45.0%,784.9%,"$1.574,53",$1.559.927,$1.559.927,1.0
3157.0,Strategic Bitcoin Reserve  SBR,"$0,07410",0.2%,4.4%,21.8%,12.6%,$322.089,$1.559.274,$1.559.274,1.0
3158.0,Mdex (HECO)  MDX,"$0,001640",-,-,-,-,"$1.270,17",$1.558.719,$1.738.751,0.9
3160.0,Carnomaly  CARR,"$0,0008901",10.7%,1.0%,27.5%,17.1%,"$37.813,75",$1.557.640,$1.557.640,1.0
3161.0,Donkey  DONKEY,"$0,001554",0.1%,4.5%,29.5%,-,$16.558.343,$1.553.989,$1.553.989,1.0
3162.0,Pundi X PURSE  PURSE,"$0,00005658",0.0%,1.9%,0.4%,43.1%,"$29.722,54",$1.553.855,$2.867.727,0.54
3163.0,Sphynx Labs  SPHYNX,"$0,001035",0.0%,1.5%,1.4%,3.6%,"$1,33",$1.552.958,$1.552.958,1.0
3165.0,Stargate Bridged USDC (Vana)  USDC.E,"$0,9997",0.0%,0.0%,0.1%,0.0%,"$57.483,18",$1.552.192,$1.552.192,1.0
3167.0,Bridged USDC (Core)  USDC,"$1,00",0.3%,0.2%,0.2%,0.1%,$111.282,$1.546.322,$1.546.322,1.0
3168.0,Based Turbo  TURBO,"$0,00002229",0.9%,3.9%,7.1%,252.0%,"$62.146,68",$1.546.300,$1.546.300,1.0
3169.0,Sensi  SENSI,"$0,006450",0.0%,10.0%,24.8%,3.6%,"$3.824,08",$1.545.772,$1.578.551,0.98
3170.0,Bear Champ  BCHAMP,"$0,001546",0.9%,7.6%,32.0%,0.6%,"$13.718,45",$1.545.647,$1.545.647,1.0
3171.0,ONINO  ONI,"$0,03917",0.2%,0.7%,3.2%,9.6%,"$21.599,18",$1.544.812,$3.915.574,0.39
3172.0,Anti Rug Agent  ANTIRUG,"$0,001544",1.2%,13.9%,4.3%,119.1%,$116.353,$1.543.672,$1.543.672,1.0
3166.0,Stargate Bridged WETH (Flow)  STGWETH,"$2.568,72",0.9%,3.5%,0.8%,58.5%,"$46.495,84",$1.543.521,$1.543.521,1.0
3124.0,Hara  HART,"$0,001286",4.5%,0.5%,3.3%,20.1%,"$2.280,03",$1.543.011,$1.543.372,1.0
3174.0,A3S  AA,"$0,006424",0.0%,9.4%,38.7%,45.5%,$2.405.195,$1.543.004,$1.926.714,0.8
3175.0,AuraFarming  AURAFARM,"$0,001543",1.1%,5.0%,19.9%,33.5%,$286.690,$1.542.119,$1.542.119,1.0
3176.0,Cakepie  CKP,"$0,3976",2.8%,26.5%,2.7%,36.0%,$515.297,$1.542.067,$3.915.722,0.39
3173.0,SolXenCat  XENCAT,"$0,001549",0.7%,6.3%,41.5%,36.2%,"$8.730,35",$1.539.543,$1.539.543,1.0
3177.0,sudoswap  SUDO,"$0,06055",0.4%,1.8%,12.7%,20.4%,"$42.240,40",$1.538.626,$3.516.867,0.44
3178.0,Treble  TREB,"$0,3137",0.4%,6.5%,2.8%,26.3%,"$48.751,97",$1.534.928,$13.440.347,0.11
3180.0,Neos Credits  NCR,"$0,03771",-,0.3%,0.1%,0.5%,"$83,05",$1.533.032,$1.885.429,0.81
